URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH,,,,,,,,,,,
123,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,79,25,0.519230764,0.089655172,12.29213483,0.593235832,5.154148265,12.29213483,649,1094,3.019462465,3,7.617001828,,,,,,,,,,,
321,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,42,16,0.448275854,0.117647059,15.72413793,0.614035088,6.535269208,15.72413793,280,456,3.040909091,4,7.644736842,,,,,,,,,,,
2345,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,25,30,-0.090909089,0.066185319,9.628205128,0.523302264,4.060602957,9.628205128,393,749,2.708100559,4,7.117489987,,,,,,,,,,,
4321,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,37,30,0.10447761,0.07227616,13.73015873,0.546820809,5.710791816,13.73015873,473,863,2.767497034,7,7.338354577,,,,,,,,,,,
432,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,37,30,0.10447761,0.07227616,13.73015873,0.546820809,5.710791816,13.73015873,473,863,2.767497034,7,7.338354577,,,,,,,,,,,
2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,47,15,0.516129024,0.072009291,11.2173913,0.533591731,4.700393214,11.2173913,413,773,2.794906166,6,7.364812419,,,,,,,,,,,
3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,36,13,0.469387746,0.057109557,13.87037037,0.59012016,5.784196212,13.87037037,442,747,2.909972299,2,7.539491299,,,,,,,,,,,
3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,62,9,0.746478863,0.060787671,10.52,0.547528517,4.427011407,10.52,576,1046,2.760617761,5,7.431166348,,,,,,,,,,,
4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,12,3,0.59999996,0.034883721,13.10344828,0.494736842,5.439274047,13.10344828,188,380,2.721621622,2,7.123684211,,,,,,,,,,,
4741,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,25,49,-0.32432432,0.09035409,13.32727273,0.577080491,5.561741287,13.32727273,423,730,2.813888889,7,7.464383562,,,,,,,,,,,
5202.8,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,16,11,0.185185178,0.0703125,10.18181818,0.49702381,4.271536797,10.18181818,167,334,2.769230769,5,7.269461078,,,,,,,,,,,
5664.6,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,34,17,0.333333327,0.052415211,13.11764706,0.497757848,5.446161963,13.11764706,444,889,2.673684211,8,6.905511811,,,,,,,,,,,
6126.4,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,26,6,0.62499998,0.060952381,16.25,0.540659341,6.716263736,16.25,246,454,2.787878788,2,7.136563877,,,,,,,,,,,
6588.2,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,23,14,0.243243237,0.047435897,16.31818182,0.408077994,6.690503925,16.31818182,293,718,2.477104874,5,6.462395543,,,,,,,,,,,
7050,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,27,17,0.227272722,0.057366362,12.35185185,0.488755622,5.13624299,12.35185185,326,666,2.696485623,2,6.935435435,,,,,,,,,,,
7511.8,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,30,28,0.034482758,0.065909091,13.95,0.422939068,5.749175627,13.95,354,831,2.474747475,20,6.474127557,,,,,,,,,,,
7973.6,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,38,29,0.134328356,0.077546296,14.80392157,0.505960265,6.123952733,14.80392157,382,755,2.762102351,8,7.226490066,,,,,,,,,,,
8435.4,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,70,34,0.346153843,0.076470588,15.30864198,0.556451613,6.346037435,15.30864198,690,1240,2.808264463,2,7.406451613,,,,,,,,,,,
8897.2,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,61,39,0.219999998,0.101936799,11.90540541,0.451759364,4.942865908,11.90540541,398,876,2.535506403,7,6.711187215,,,,,,,,,,,
9359,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,69,40,0.266055043,0.090157155,12.47191011,0.563963964,5.214349631,12.47191011,626,1105,2.789569991,3,7.399095023,,,,,,,,,,,
9820.8,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,67,25,0.456521734,0.091179385,11.37931034,0.444444444,4.729501916,11.37931034,440,985,2.585492228,18,6.673096447,,,,,,,,,,,
10282.6,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,61,26,0.402298846,0.073791349,12.8,0.462316176,5.304926471,12.8,503,1080,2.591603053,13,6.916666667,,,,,,,,,,,
10744.4,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,48,25,0.315068489,0.08276644,13.3559322,0.474619289,5.532220597,13.3559322,374,783,2.579766537,19,6.966794381,,,,,,,,,,,
